id,prediction
20.0,0
20.0,1
20.0,0
201170410.02,1
201238110.0,0
201238110.0,0
201257461.01,0
201257461.01,0
201324549.01,0
201324549.01,0
201324549.01,1
201324549.01,0
201324549.01,1
201427007.0,1
201497682.0,1
201555883.01,1
201569483.01,1
201569483.01,0
201595106.0,0
201595106.0,1
201595106.0,1
201595106.0,1
201615463.0,0
201649426.01,0
201649426.01,1
201754305.0,1
201757695.02,1
201779067.01,0
201779067.01,1
201779067.01,0
201779067.01,0
201833600.0,0
201833600.0,1
201841433.0,0
201841433.0,0
201841433.0,0
201928106.01,1
201929294.01,0
202059377.01,0
202059377.01,0
202071645.01,1
202126887.01,1
202126887.01,1
202126887.01,0
202126888.01,0
202126888.01,1
202963882.01,1
203476597.01,0
203485624.01,0
203581469.01,0
203692610.01,1
203710387.01,1
203710387.01,0
203710387.01,0
203823381.01,1
203823381.01,0
203823381.01,1
203849738.01,1
203868608.01,0
204043888.01,1
204143627.01,1
204165788.01,1
204364515.01,1
204432860.01,0
204506777.01,1
204760247.01,1
204873331.01,1
204873331.01,1
204882444.01,0
205046529.01,1
205064326.01,0
205064326.01,1
205064326.01,1
205064326.01,0
205148699.01,0
205148699.01,1
205148699.01,0
205148699.01,0
205483258.01,1
205703094.03,1
205950854.0,1
205950854.0,1
205950854.0,0
205979483.01,1
205990339.01,0
205990339.01,0
206024342.0,1
206024342.0,0
206024342.0,1
206024342.0,0
206024342.0,0
206024342.0,0
206024342.0,0
206024342.0,1
206024342.0,1
206032309.0,1
206042996.0,0
206042996.0,0
206042996.0,1
206042996.0,1
206042996.0,0
206065006.01,0
206215704.0,0
206215704.0,0
206215704.0,1
206267115.01,1
206317286.0,0
206317286.0,1
206317286.0,0
206317286.0,1
206317286.0,0
207517400.01,1
210401157.01,0
210401157.01,1
210414957.01,0
210414957.01,0
210414957.01,0
210513446.01,0
210513446.01,0
210744674.01,1
210744674.01,0
210744674.01,0
210754505.01,0
210754505.01,1
210754505.01,0
210754505.01,0
210789323.01,0
210827030.01,0
210954046.01,0
211082420.01,0
211093684.01,0
211397774.01,0
211402878.01,0
211408138.01,1
211409299.01,1
211411891.01,1
211422822.01,0
211425822.01,0
211429934.01,1
211430148.01,0
211431013.01,1
211432167.01,0
211432176.01,1
211432946.01,1
211449931.01,0
211452175.01,1
211453076.01,0
211453223.01,1
211468153.01,0
211471048.01,0
211477347.01,1
211490299.01,0
211492541.01,0
211493669.01,1
211509665.01,1
211524114.01,0
211524558.01,1
211526186.01,1
211534342.01,0
211535481.01,0
211538193.01,0
211540348.01,1
211563123.01,1
211572480.01,0
211589784.01,1
211600389.01,1
211600632.01,0
211604981.01,0
211607670.01,0
211607804.01,0
211613886.01,0
211613886.01,0
211619120.01,0
211621644.01,1
211621961.01,0
211625003.01,1
211626490.01,0
211630537.01,1
211631904.01,1
211638883.01,1
211639283.01,0
211644647.01,1
211651743.01,1
211662047.01,1
211663508.01,0
211664543.01,0
211705502.01,1
211705502.01,0
211705502.01,1
211705654.01,1
211710534.01,0
211718105.01,0
211721325.01,1
211732801.01,0
211737652.01,0
211738534.01,0
211744153.01,0
211750072.01,0
211759163.01,0
211764271.01,0
211764373.01,0
211768007.01,0
211770390.01,0
211804579.01,1
211804579.01,0
211804579.01,1
211807456.01,1
211809568.01,1
211812160.01,0
211814733.01,1
211814733.01,1
211822797.0,0
211822797.0,0
211822797.0,0
211822797.0,1
211822797.0,0
211822797.0,0
211822953.01,0
211828142.01,0
211829982.01,0
211831378.01,0
211838158.01,1
211839430.01,0
211839462.01,0
211841496.01,0
211852187.01,0
211858408.01,1
211858489.01,0
211885185.01,0
211906940.01,1
211910237.01,1
211914718.01,0
211915147.01,1
211919555.01,1
211919842.01,0
211920462.01,1
211920528.01,1
211920604.01,0
211920811.01,0
211928959.01,0
211934173.01,0
211942157.01,1
211945201.0,0
211945201.0,1
211945201.0,1
211945201.0,0
211945201.0,0
211945201.0,0
211945201.0,1
211945201.0,0
211945201.0,0
211945201.0,0
211945201.0,1
211946007.01,0
211946007.01,0
211946007.01,1
211955798.01,1
211964001.01,1
211964025.01,0
211964555.01,0
211970234.01,0
